source_id,term,candidate_count,category,human_selected_index,v7_selected_index,finetuned_selected_index,finetuned_valid,finetuned_error,human_selected_sentence,v7_selected_sentence,finetuned_selected_sentence
6467,Reflux in Infants,58,both_correct,0,0,0,True,,"Gastroesophageal reflux (GER), often called reflux or spitting up, happens when food or milk comes back up from your baby's stomach into the esophagus.","Gastroesophageal reflux (GER), often called reflux or spitting up, happens when food or milk comes back up from your baby's stomach into the esophagus.","Gastroesophageal reflux (GER), often called reflux or spitting up, happens when food or milk comes back up from your baby's stomach into the esophagus."
5624,Chronic Myeloid Leukemia,59,finetuned_improved,9,7,9,True,,"In CML, the bone marrow makes abnormal granulocytes (a type of white blood cell).",Chronic myeloid leukemia (CML) is a type of chronic leukemia.,"In CML, the bone marrow makes abnormal granulocytes (a type of white blood cell)."
6807,How to Lower Cholesterol with Diet,56,finetuned_improved,12,14,12,True,,"The lifestyle changes include healthy eating, weight management, and regular physical activity.",Heart-healthy lifestyle changes include a diet to lower your cholesterol.,"The lifestyle changes include healthy eating, weight management, and regular physical activity."
6452,Heart Health Tests,63,both_correct,3,3,3,True,,Blood tests and heart health tests can help find heart diseases or identify problems that can lead to heart diseases.,Blood tests and heart health tests can help find heart diseases or identify problems that can lead to heart diseases.,Blood tests and heart health tests can help find heart diseases or identify problems that can lead to heart diseases.
4117,Personality Disorders,51,both_wrong,4,3,2,True,,The thoughts and behaviors are unhealthy and inflexible.,They involve long-term patterns of thoughts and behaviors that are different from what is considered normal in your culture.,Personality disorders are a group of mental disorders .
6681,Guide to Good Posture,35,finetuned_regressed,2,2,3,True,,"Making sure that you hold your body the right way, whether you are moving or still, can prevent pain, injuries, and other health problems.","Making sure that you hold your body the right way, whether you are moving or still, can prevent pain, injuries, and other health problems.",Posture is how you hold your body.
424,Suicide,32,finetuned_regressed,1,1,0,True,,It is a death that happens when someone harms themselves because they want to end their life.,It is a death that happens when someone harms themselves because they want to end their life.,Suicide is the taking of one's own life.
5914,Stroke Rehabilitation,47,both_correct,4,4,4,True,,Stroke rehabilitation can help you relearn skills you lost because of the damage.,Stroke rehabilitation can help you relearn skills you lost because of the damage.,Stroke rehabilitation can help you relearn skills you lost because of the damage.
27,COPD,57,both_wrong,5,0,0,True,,"If you have COPD, less air flows in and out of your airways because of one or more problems: The airways and air sacs in your lungs become less elastic The walls between many of the air sacs are destroyed The walls of the airways become thick and inflamed The airways make more mucus than usual and can become clogged What are the types of COPD (chronic obstructive pulmonary disease)?",COPD (chronic obstructive pulmonary disease) is a group of lung diseases that make it hard to breathe and get worse over time.,COPD (chronic obstructive pulmonary disease) is a group of lung diseases that make it hard to breathe and get worse over time.
3894,Understanding Medical Research,33,finetuned_regressed,3,3,,False,"invalid selected_index in model output: None (raw content: '{\n    ""input_1"": ""Almost every day, new findings from medical research are published in scientific journals."",\n    ""input_2"": ""These journal articles often become sources for news stories."",\n    ""input_3"": ""They can be important tools in helping you manage your health."",\n    ""input_4"": ""But it\'s not always easy to understand them and know what they mean for your life."",\n    ""input_5"": ""For example: What you hear about a study may not explain how it fits into the bigger picture."",\n    ""input_6"": ""Sometimes the results of one study seem to disagree with the results of another study."",\n    ""input_7"": ""That could be because the studies could have different designs and asked different questions."",\n    ""input_8"": ""The news stories don\'t always explain this."",\n    ""input_9"": ""Sometimes the studies are very small, and researchers need to do more studies to confirm the results."",\n    ""input_10"": ""But the news stories about these small studies may not highlight this."",\n    ""input_11"": ""So it\'s important to think carefully when reading or listening to reports of new medical findings."",\n    ""input_12"": ""Here are some questions that can help you evaluate that information : Was the study in animals or humans?"",\n    ""input_13"": ""Getting certain results in animals may not mean that you get those same results in humans."",\n    ""input_14"": ""Were the people in the study similar to you in ways that may matter, such as age, race, or sex?"",\n    ""input_15"": ""How big was the study?"",\n    ""input_16"": ""Larger studies may get more reliable results than smaller studies."",\n    ""input_17"": ""How long did the study last?"",\n    ""input_18"": ""For example, studies testing medicines need to be long enough to show long-term benefits or risks."",\n    ""input_19"": ""What kind of study was it?"",\n    ""input_20"": ""Clinical trials , especially randomized controlled trials, give the clearest information about whether a treatment is effective and safe in humans."",\n    ""input_21"": ""In randomized controlled trials, the people in the study are randomly divided into separate groups that get different treatments."",\n    ""input_22"": ""This helps prevent bias in the results."",\n    ""input_23"": ""Where was the research done?"",\n    ""input_24"": ""If a new treatment was being tested, what were the side effects?"",\n    ""input_25"": ""How common were they?"",\n    ""input_26"": ""How do the results from the study compare with previous studies?"",\n    ""input_27"": ""If the new study had different results, then more studies would be needed to confirm these results."",\n    ""input_28"": ""Who paid for the research?"",\n    ""input_29"": ""Sometimes the people paying for the research could profit financially if the study gets certain results."",\n    ""input_30"": ""Do they have a certain bias?"",\n    ""input_31"": ""It can be helpful to stay informed about new medical findings."",\n    ""input_32"": ""But it\'s good to have some skepticism.""\n}')",But it's not always easy to understand them and know what they mean for your life.,But it's not always easy to understand them and know what they mean for your life.,
1694,Spinal Muscular Atrophy,53,both_correct,0,0,0,True,,Spinal muscular atrophy (SMA) is a group of genetic diseases that damages and kills motor neurons.,Spinal muscular atrophy (SMA) is a group of genetic diseases that damages and kills motor neurons.,Spinal muscular atrophy (SMA) is a group of genetic diseases that damages and kills motor neurons.
294,Vaccines,46,both_correct,0,0,0,True,,"Vaccines are injections (shots), liquids, pills, or nasal sprays that you take to teach your body's immune system to recognize and defend against harmful germs.","Vaccines are injections (shots), liquids, pills, or nasal sprays that you take to teach your body's immune system to recognize and defend against harmful germs.","Vaccines are injections (shots), liquids, pills, or nasal sprays that you take to teach your body's immune system to recognize and defend against harmful germs."
601,Panic Disorder,32,finetuned_regressed,1,1,24,True,,"It causes repeated panic attacks, which are sudden periods of intense fear, discomfort, or a sense of losing control.","It causes repeated panic attacks, which are sudden periods of intense fear, discomfort, or a sense of losing control.","People with panic disorder may have: Sudden and repeated panic attacks of overwhelming anxiety and fear A feeling of being out of control or a fear of death during a panic attack An intense worry about another panic attack A fear or avoidance of places and situations where they had panic attacks in the past Physical symptoms during a panic attack, such as: Pounding or racing heart Sweating or chills Trembling or shaking Trouble breathing The feeling that they are choking Weakness or dizziness Chest pain Stomach pain or nausea Panic attacks can happen anytime, without warning."
160,Birth Control,64,both_correct,0,0,0,True,,"Birth control, also known as contraception, is the use of medicines, devices, or surgery to prevent pregnancy.","Birth control, also known as contraception, is the use of medicines, devices, or surgery to prevent pregnancy.","Birth control, also known as contraception, is the use of medicines, devices, or surgery to prevent pregnancy."
1438,Childhood Leukemia,38,both_wrong,5,10,0,True,,These abnormal cells build up in your bone marrow and blood.,"Most childhood leukemias are acute: Acute lymphocytic leukemia (ALL) , which is the most common type of leukemia in children and the most common cancer in children .",Leukemia is a term for cancers of the blood cells.
6907,High Cholesterol in Children and Teens,38,both_correct,3,3,3,True,,"But if your child or teen has high cholesterol (too much cholesterol in the blood), it can stick to the walls of their arteries and narrow or even block the arteries.","But if your child or teen has high cholesterol (too much cholesterol in the blood), it can stick to the walls of their arteries and narrow or even block the arteries.","But if your child or teen has high cholesterol (too much cholesterol in the blood), it can stick to the walls of their arteries and narrow or even block the arteries."
6967,Eosinophilic Esophagitis,54,both_correct,2,2,2,True,,"If you have EoE, white blood cells called eosinophils build up in your esophagus.","If you have EoE, white blood cells called eosinophils build up in your esophagus.","If you have EoE, white blood cells called eosinophils build up in your esophagus."
1508,High Blood Pressure in Pregnancy,59,finetuned_regressed,4,4,2,True,,"During pregnancy, high blood pressure can cause problems for you and your baby.","During pregnancy, high blood pressure can cause problems for you and your baby.","High blood pressure , or hypertension, is blood pressure that is higher than normal."
1263,Mammography,34,finetuned_regressed,1,1,0,True,,Health care providers use mammograms to look for early signs of breast cancer that can't be felt during a breast exam.,Health care providers use mammograms to look for early signs of breast cancer that can't be felt during a breast exam.,A mammogram is an x-ray picture of the breast.
4119,Heart Surgery,53,both_correct,0,0,0,True,,Heart surgery can correct certain heart problems when other treatments haven't worked or can't be used.,Heart surgery can correct certain heart problems when other treatments haven't worked or can't be used.,Heart surgery can correct certain heart problems when other treatments haven't worked or can't be used.
108,Smoking,47,both_wrong,1,2,2,True,,"It harms nearly every organ of the body, even some that you would not expect.",Cigarette smoking causes many cancers and other health problems.,Cigarette smoking causes many cancers and other health problems.
3924,Knee Replacement,49,both_wrong,3,0,0,True,,The goal of a knee replacement is to relieve pain and help you move better.,"Knee replacement surgery is a surgery to replace parts of your knee joint with new, artificial parts.","Knee replacement surgery is a surgery to replace parts of your knee joint with new, artificial parts."
1,HIV,58,both_correct,1,1,1,True,,HIV harms your immune system by destroying a type of white blood cell that helps your body fight infection.,HIV harms your immune system by destroying a type of white blood cell that helps your body fight infection.,HIV harms your immune system by destroying a type of white blood cell that helps your body fight infection.
3623,Emphysema,59,both_wrong,0,4,4,True,,Emphysema is a type of COPD (chronic obstructive pulmonary disease).,Emphysema affects the air sacs in your lungs.,Emphysema affects the air sacs in your lungs.
4921,Kawasaki Disease,36,both_wrong,4,2,0,True,,Kawasaki disease happens when the immune system injures the blood vessels by mistake.,"It is a type of vasculitis , which is inflammation of the blood vessels.",Kawasaki disease is a rare illness that usually affects small children.
381,Raynaud Phenomenon,57,both_wrong,1,0,0,True,,"It causes your blood vessels to narrow, which decreases blood flow.",Raynaud phenomenon is a condition that affects your blood vessels (the tubes that your blood flows through).,Raynaud phenomenon is a condition that affects your blood vessels (the tubes that your blood flows through).
5562,Delirium,44,both_correct,0,0,0,True,,"Delirium is a mental state in which you are confused, disoriented, and not able to think or remember clearly.","Delirium is a mental state in which you are confused, disoriented, and not able to think or remember clearly.","Delirium is a mental state in which you are confused, disoriented, and not able to think or remember clearly."
7129,Opioid Use Disorder (OUD) Treatment,51,both_correct,8,8,8,True,,Opioid use disorder (OUD) means that you have a problematic pattern of using opioids.,Opioid use disorder (OUD) means that you have a problematic pattern of using opioids.,Opioid use disorder (OUD) means that you have a problematic pattern of using opioids.
299,Flu,38,both_correct,0,0,0,True,,"The flu, also called influenza, is a respiratory infection caused by viruses.","The flu, also called influenza, is a respiratory infection caused by viruses.","The flu, also called influenza, is a respiratory infection caused by viruses."
111,Cervical Cancer,53,both_correct,0,0,0,True,,Cervical cancer is cancer that starts in the cells of the cervix.,Cervical cancer is cancer that starts in the cells of the cervix.,Cervical cancer is cancer that starts in the cells of the cervix.
1286,Hepatitis C,52,both_wrong,0,4,4,True,,Hepatitis is inflammation of the liver.,"One type, hepatitis C, is caused by the hepatitis C virus (HCV).","One type, hepatitis C, is caused by the hepatitis C virus (HCV)."
4157,Inhalants,34,both_correct,0,0,0,True,,Inhalants are substances that people inhale (breathe in) to get high.,Inhalants are substances that people inhale (breathe in) to get high.,Inhalants are substances that people inhale (breathe in) to get high.
379,Radiation Exposure,48,finetuned_regressed,11,11,13,True,,But too much radiation can damage tissues by changing cell structure and damaging DNA.,But too much radiation can damage tissues by changing cell structure and damaging DNA.,"The amount of damage that exposure to radiation can cause depends on several factors, including: The type of radiation The dose (amount) of radiation How you were exposed, such as through skin contact, swallowing or breathing it in, or having rays pass through your body Where the radiation concentrates in the body and how long it stays there How sensitive your body is to radiation."
271,Traumatic Brain Injury,45,both_correct,0,0,0,True,,Traumatic brain injury (TBI) is a sudden injury that causes damage to the brain.,Traumatic brain injury (TBI) is a sudden injury that causes damage to the brain.,Traumatic brain injury (TBI) is a sudden injury that causes damage to the brain.
4916,Colonoscopy,71,both_correct,0,0,0,True,,Colonoscopy and flexible sigmoidoscopy are procedures that let your doctor look inside your rectum and colon (large intestine).,Colonoscopy and flexible sigmoidoscopy are procedures that let your doctor look inside your rectum and colon (large intestine).,Colonoscopy and flexible sigmoidoscopy are procedures that let your doctor look inside your rectum and colon (large intestine).
165,Vision Impairment and Blindness,30,finetuned_regressed,1,1,3,True,,"It includes blindness, which means that you have lost all or most of your sight.","It includes blindness, which means that you have lost all or most of your sight.","You may have trouble reading, shopping, cooking, writing, and watching TV."
3157,Migraine,51,both_wrong,1,0,2,True,,They cause moderate to severe pain that is throbbing or pulsing.,Migraines are a recurring type of headache.,The pain is often on one side of your head.
